title,time,article
本土新增归0！英国专家感慨：只有中国做到了,2020年04月30日 23:04,"原标题：本土新增归0！英国专家感慨：只有中国做到了 今天，很多好消息传来。 国家卫健委今早通报，新增本土病例归0↓↓↓ 4月29日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例4例，均为境外输入病例，无新增本土病例，无新增死亡病例；新增疑似病例3例，均为境外输入疑似病例。 湖北无新增确诊病例，无新增治愈出院病例，无新增死亡病例，无现有确诊病例，无重症病例，无新增疑似病例，无现有疑似病例。 此外，今日零时起，全国无疫情“高风险地区”。 今日零时，国务院疫情风险等级查询信息显示，北京朝阳区疫情风险等级已由“高风险地区”调整为“低风险”。北京市朝阳区也是前段时间里全国唯一的“高风险地区”。 与此同时，各地复学工作有序加快推进中！ 比如北京，今日零时起，北京突发公共卫生事件应急响应级别由一级响应调整为二级响应。 对此，北京市委教育工委、市教委称，将加快研究推进开学相关工作，加快研究推进、审慎做好高校、中小学、幼儿园等各级各类学校开学复课准备，具体时间及安排尽快确定后将及时向社会发布。 英国专家感慨：只有中国做到了！ 新冠肺炎疫情防控是对各国治理体系和治理能力的一次大考。 据中国日报报道，中国的抗疫模式为世界树立了标杆，一些外国政要和专家感慨，“只有中国做到了”。 英国学者罗斯义（John Ross）曾在接受今日俄罗斯采访时表示，中国出现疫情后果断采取措施，成功控制住疫情。 人们会明白中国是唯一一个完全控制住疫情的国家。因此，中国是你们最应该学习的。 …people will understand that China is the only country which has got the virus fully under control. And therefore that's the country which you have to study most. 世卫组织助理总干事艾尔沃德曾指出，没有哪个国家像中国这样行动迅速，防控措施史无前例。 我认为最关键的是要学习中国的速度——一切都在于速度。寻找并隔离确诊病例以及追踪密切接触对象的速度越快，抗疫就越成功。 I think the key learning from China is speed — it's all about the speed. The faster you can find the cases, isolate the cases, and track their close contacts, the more successful you're going to be. 在接受《纽约时报》采访时，艾尔沃德曾称赞中国强大的动员能力。 我与很多体制外的人交谈过，在旅馆里、火车上和在深夜街头。他们都被动员起来，就像上战场一样，但驱使他们前进的，是对病毒的恐惧。他们确实把自己视为奋斗在前线的战士，这是在保卫中国其他地区乃至整个世界。 I talked to lots of people outside the system — in hotels, on trains, in the streets at night. They're mobilized, like in a war, and it's fear of the virus that was driving them. They really saw themselves as on the front lines of protecting the rest of China. And the world. 与中国抗疫形成鲜明对比，美国《科学》杂志和《华盛顿邮报》等媒体评论认为，一些国家疫情防控体系“支离破碎、混乱不堪”，中央政府与地方政府互“掐”，甚至哄抢医疗物资。 新冠肺炎疫情在蔓延，美国政府却缺乏迅速果断的领导力，导致州政府和地方政府自行应对疫情。 As the covid-19 pandemic unfolds, President Trump's lack of swift and decisive leadership has left state and local authorities to combat the virus on their own. 全国上下无法协调统一，而这种全国协调应对以遏制病毒传播的模式已在世界各地被证明是成功的。 ……and prevented the type of national coordinated response that has proven successful in halting the virus in other places in the world. 因时制宜，根据形势发展变化及时调整防控策略，从最初要求高风险地区“内防扩散、外防输出、严格管控”，到现在着力“外防输入、内防反弹”；从最初把疫情防控工作作为最重要工作来抓，到当前在常态化疫情防控中加快推进生产生活秩序全面恢复。 外国专家评价中国采取了“最勇敢、最灵活和最积极”的差异化防控措施，取得了最佳防控效果。 《卫报》报道称，世界卫生组织点名表扬了中国的抗疫策略： 面对这种前所未知的病毒，中国采取了历史上最勇敢、最灵活、最积极的防控措施。 In the face of a previously unknown virus, China has rolled out perhaps the most ambitious, agile, and aggressive disease containment effort in history.   "
BBC问中国是否将为疫情道歉 我驻英大使：中国不是病毒制造者,2020年04月30日 16:05,原标题：BBC问中国是否将为疫情道歉 我驻英大使：中国不是病毒制造者 [海外网4月30日|战疫全时区]2020年4月28日，中国驻英国大使刘晓明接受英国广播公司（BBC）《尖锐对话》栏目资深主持人斯蒂芬·萨克在线专访，就中国抗击新冠肺炎疫情阐明立场，澄清事实，激浊扬清。专访实录如下： 病毒最早发现于武汉 不等于起源于武汉 主持人：刘晓明大使，欢迎来到《尖锐对话》。 刘大使：谢谢！很高兴再次见到你。 主持人：很高兴你能在这艰难时期接受加我们的采访。先问一个简单、直接的问题：你是否同意新冠肺炎病毒源自中国？ 刘大使：病毒最早发现于武汉并不等于起源于武汉。根据多方信息，包括BBC的报道，病毒可能源自任何地方，甚至在航空母舰或潜艇中可以找到，在一些与中国很少联系的国家中也可以找到，在从未去过中国的人群中可以找到。所以我们不能说它源自中国。 主持人：这个回答让我有些困惑。显然这是一种全新病毒，它起源于某个地方。根据免疫学家和病毒学家的说法，病毒由动物传播给人类。毫无疑问，第一起病例发生在中国。你刚才说，病毒传播到了世界各地，一些从未到过中国的人也被感染，显然病毒已引发全球大流行病，但至关重要的问题是，它最初来自何处？ 刘大使：我认为这个问题应交由科学家来解答。据我了解，中国的首起病例是由张继先医生于2019年12月27日向中国地方卫生主管部门报告的。我还看到报道，称中国以外有些病例甚至远早于此。昨天英国报纸上的报道称，英国的科学家、医学专家在去年早些时候就曾警告政府，可能存在一种未知病毒。因此，我只能说中国第一例报告的病例于2019年12月27日发生的武汉。 主持人：我认为不容置疑的是，专家们确信在武汉及其周边地区发现了首例确诊病例。你是否也认为我们必须搞清楚疫情暴发初期到底发生了什么，以及哪些地方做得不对、哪些步骤走错了，才导致病毒演变成全球大流行？ 刘大使：我认为这仍待商榷，我们得承认有不同看法。病毒是在中国武汉首次发现的，但不能说它起源于武汉。我认为这个问题应当留给科学家。 鼓吹“独立调查” 意在罗织借口污蔑中国 主持人：刘大使，病毒确实首先在武汉出现人传人，并集中暴发。我想问的是，难道对已发生的事情进行深入独立调查、了解事实真相不重要吗？我们可以利用这些信息避免悲剧再次发生。 刘大使：让我给你介绍一下中国抗疫时间表。张继先医生首先于2019年12月27日上报了不明原因肺炎病例。中国卫生部门和疾控中心在四天后，也就是12月31日以最短的时间通知了世界卫生组织并与其他国家共享信息。中国还第一时间同世卫组织分享病原体，在第一时间同世卫组织和其他国家分享病毒基因序列。 主持人：大使先生，让我打断一下，你忽视了非常重要的一点。 12月30日，武汉医生李文亮在微信群里告诉他的医生同事，武汉出现了一种非常令人担忧的新疾病，建议他的同事们必须穿防护服，以避免被感染。几天后，他被公安局传唤并被迫供认散播虚假信息、严重干扰社会秩序。从那以后一直到一月份，中国政府一直在试图掩盖真相。 刘大使：现在我明白为什么一些人要鼓吹进行所谓的独立调查了，其实就是试图罗织借口来批评中国掩盖真相。但事实是，李文亮医生不是“吹哨者”，如我刚才说的，张继先医生比李医生早三天向卫生部门报告，武汉市卫生部门随即向中央政府报告。四天后，也就是李医生发出微信信息后一天，中国政府与世卫组织及其他国家共享了这一信息。完全不存在所谓掩盖事实。 主持人：大使先生，实际上中方共享的信息非常有限。根据《华盛顿邮报》和美联社获得的内部信息，中国国家卫生健康委员会主任马晓伟曾在2020年1月14日的内部会议中对形势做出了非常严峻的评估，他说复杂、集中案例表明病毒正在“人传人”。但是第二天，中国疾病预防控制中心对外称持续“人传人”的风险很低，疫情是可防可控的。因此，我再次认为，有充足的证据表明中国在好几个星期内没有说实话。 刘大使：你都没有给我足够的时间回答问题，我还没有答完关于李文亮的问题。所谓的“掩盖事实”是不存在的。张医生通过正常渠道向卫生部门报告，但李文亮则在朋友圈传播相关信息。在任何国家，如果出现极其危险的未知病毒等情况，都可能引起恐慌。我认为警方传唤李医生，向他提出警告，要求他停止网上传播，这不能称为“隐瞒”。疫情已经通过正规渠道上报，这种情况下要尽量避免恐慌。目前，英国政府也在打击利用假消息制造恐慌以达到个人目的做法。有关李文亮医生的事已经有结论，中国中央政府接到报告后，即向武汉派出调查组，武汉市公安局决定撤销对李医生的训诫书。李医生被追认为烈士，被授予很高的荣誉。 主持人：李医生去世的时候的确被中国人民视为英雄。 刘大使：不仅是中国人民，中国政府也是一样，不能区别开来。 你们过于依赖美媒 希望采纳世卫信息 主持人：我认为中国人民很清楚，政府对他们和世界其它国家并不坦率。1月14日，中国卫健委的内部文件称存在人传人、聚集性感染的证据，形势严峻复杂，并要求有关内容不公开，不上网。对此你如何解释？ 刘大使：我想你们的所有信息都来自《华盛顿邮报》，你们过于依赖美国媒体。我衷心希望你们能采纳世卫组织的信息。我们与世卫组织分享了所有信息。我看了你对世卫组织新冠特使纳巴罗（David Nabarro）博士的专访，中国始终坚持公开、透明、第一时间与世卫组织分享信息。一方面在中国国内，我们必须保持高度警惕，采取最严格的防控措施，当时对这个病毒并不十分了解。另一方面我们与世卫组织和其他国家分享了信息和我们对病毒的认知。 主持人：刘大使你是一位资深外交官，应该了解目前世界上很多人并不相信中国的故事版本。几个小时前，特朗普称对中国的立场并不满意，说中国完全可以把疫情控制在源头，他还说美国正在进行全面调查。美国副总统彭斯也列出一系列理由证明，中国没有对世界说实话，应对疫情在全世界蔓延并造成大规模死亡和经济损失负有责任，中国现在面临巨大的问题。 刘大使：我不同意这种说法。这是一些西方国家的说法。疫情发生后，中国第一时间与世卫组织和其它国家通力合作，我们派出技术援助和医疗专家组，并向150多个国家提供医疗物资援助，受到这些国家的高度评价。我认为，美国不能代表全世界，即使不少西方国家，包括英国、法国、德国，也对中国表示赞赏。你引用了特朗普总统的表态，我也想引用几句他有关中国的表态。1月24日，在中国通报疫情大约1个月之后，特朗普总统说，“美国高度赞赏中国的努力和透明度”。6天之后，他表示“正在与中国紧密合作”。二月初，他又表示“习近平主席工作出色、疫情处理得很好”。 美国敌人是新冠病毒 应该找对目标 主持人：自一月底以来，情况发生了很多变化。中国说，我们做了很多好事，向世界各国提供了医疗物资援助，但在外界眼里则是中国最近几周正在全世界掀起一场假消息和宣传攻势。你提到中国与法国的关系良好，但法国政府刚召见了中国驻法大使，指责中国驻法使馆散布假消息，使馆网站称法国老人在养老院里被抛弃，承受痛苦，孤独地死去。中国外交部官员在社交媒体上散布“阴谋论”，称美国军人将病毒偷带到中国。为什么中国要宣传这样的假消息？ 刘大使：我认为你选错了目标。不是中国散布假消息，如果将中国领导人、中国外交官和中国大使的表态与美国领导人、美国外交官和美国大使做一个比较，你就会发现谁在散布假消息。 主持人：你同意赵立坚关于“美国军人将新冠病毒偷带到中国”的说法吗？你相信吗？ 刘大使：赵是转推一些媒体的报道。我不明白你为什么抓住中国某个个人的言论，却对美国国家领导人、高级官员，特别是美国最高级别外交官、国务卿发布的假消息视而不见？只要他谈到中国，就没有好话；中国在抗疫斗争中向美国伸出援手，却成了恶人。我实在不能理解。 主持人：你认为，目前由于疫情导致的各种指责给中美带来外交危机有多严重？ 刘大使：中方当然希望与美国保持良好关系。我曾两次常驻美国，我始终相信中美和则两利、斗则俱伤，我们有充分的理由与美方保持良好关系，但这应该建立在相互信任、合作而不对抗的基础上，双方需要相向而行。疫情发生以来，习近平主席和特朗普总统保持密切沟通，通了两次电话，讨论国际抗疫合作。我想强调的是，中国不是美国的敌人，美国的敌人是新冠病毒，美国应该找对目标。 主持人：你发出了非常重要的信息。那么针对美国以及澳大利亚、英国等许多国家提出的、中方应永久而不是临时关闭从事野生动物交易的“湿货市场”的要求，中方是否将作出一些积极姿态，从而改善与这些国家的关系？ 刘大使：首先，我不同意你关于中国与许多国家关系出现问题的说法，中国的朋友多，对手少，敌人更少。正如我所说，少数西方国家不能代表整个世界。中国拥有良好的对外关系，正在积极推动国际抗疫合作。正如习近平主席所说，团结合作是国际社会战胜疫情最有力武器。 主持人：我们时间不多了，刘大使，你能不能就“湿货市场”问题给出具体明确的回答？市场关了还是没关？ 刘大使：事实上，在中国根本不存在所谓的“湿货市场”，这个说法对很多中国人都很陌生，是西方、外来的说法。人们常说的是农贸市场和活禽海鲜市场，主要销售新鲜的蔬菜、海鲜等农副产品，也有非常少数市场销售活禽。你所谈到的应该是非法销售野生动物的市场，已经被彻底禁止。中国全国人大已经通过决定，全面禁止非法野生动物交易。 主持人：这是否意味着中国政府已经意识到这些野生动物市场的危险性，即它们确实造成病毒从动物传给人类？ 刘大使：我们终于达成了一项一致。请注意，这里所说的是非法野生动物市场已完全被禁止，在中国猎捕、交易、食用野生动物都是非法的。 中国是病毒受害者 不是病毒制造者 主持人：如果中方能在新冠肺炎病毒蔓延之前早点下达禁令，就不会给世界造成这么大的伤害。中方是否将为此道歉？ 刘大使：你又回到了采访开始时的问题。我要说，不能因为疫情在中国发现就指责中国，这是错误的。中国发现了疫情，在很多与中国毫无联系的地方也发现了疫情。不能因为中方暴发疫情就指责中国，要看到中国竭尽所能努力抗疫。中国是病毒受害者，中国不是病毒制造者，中国也不是病毒源头。对于这一点，必须要明确。 主持人：但一些英国政界要员称中国应为疫情负责，比如，议会下议院外委会主席表示，中国政府实行的是前苏联式、有害的体制，这种体制损害中国人民的健康和福祉，背叛了中国人民，也背叛了世界。他们呼吁英国、美国和其他一些国家切断与中国的紧密经济联系。在英国，这一问题的核心是，华为不应被继续允许参与英5G网络建设。作为中国驻英国大使，你是否担心对华经济脱钩？ 刘大使：既担心，也不担心。你所谈到的那位政界要员，他的观点不能代表英国政府的官方立场。我相信，在约翰逊首相领导下，英国政府仍致力于发展强劲的中英关系。在与习主席的两次通电话中，约翰逊首相重申将致力于推进中英关系“黄金时代”。疫情期间，中英除了紧密沟通之外，还积极开展合作。我出任中国驻英国大使10年了，从未见到两国领导人和高层保持如此密切的联系，除了习近平主席与约翰逊首相两次通话外，中央外事工作委员会办公室主任杨洁篪、国务委员兼外长王毅同英国首相国家安全事务顾问塞德维尔、外交大臣拉布保持密切沟通，我也与外交大臣拉布，卫生大臣汉考克，商业、能源和产业战略大臣夏尔马保持密切接触，中英关系十分强劲。至于你提到有人将中国比作前苏联，这完全是“冷战”思维。我们已经生活在二十一世纪第三个十年，而这些人还停留在过去“冷战”时期。中国不是前苏联。中英之间的共同利益远大于分歧，我对中英关系充满信心。 主持人：刘大使，我们即将结束采访。我再次对你在艰难时期做客《尖锐对话》表示感谢。 刘大使：不必客气。 （海外网 刘强）
31省区市新增确诊病例12例,2020年05月01日 08:21,原标题：31省区市新增确诊病例12例 4月30日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例12例，其中6例为境外输入病例（上海5例，福建1例），6例为本土病例（黑龙江5例，内蒙古1例）；无新增死亡病例；新增疑似病例3例，均为境外输入疑似病例（均在上海）。 当日新增治愈出院病例32例，解除医学观察的密切接触者882人，重症病例减少3例。 境外输入现有确诊病例505例（含重症病例7例），现有疑似病例7例。累计确诊病例1670例，累计治愈出院病例1165例，无死亡病例。 截至4月30日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例599例（其中重症病例38例），累计治愈出院病例77642例，累计死亡病例4633例，累计报告确诊病例82874例，现有疑似病例9例。累计追踪到密切接触者732966人，尚在医学观察的密切接触者7761人。 湖北无新增确诊病例，无新增治愈出院病例，无新增死亡病例，无现有确诊病例，无重症病例。累计治愈出院病例63616例（武汉46464例），累计死亡病例4512例（武汉3869例），累计确诊病例68128例（武汉50333例）。无新增疑似病例，无现有疑似病例。 31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者25例（无境外输入）；当日转为确诊病例6例（境外输入1例）；当日解除医学观察36例（境外输入11例）；尚在医学观察无症状感染者981例（境外输入115例）。 累计收到港澳台地区通报确诊病例1511例。其中，香港特别行政区1037例（出院846例，死亡4例），澳门特别行政区45例（出院35例），台湾地区429例（出院322例，死亡6例）。
黑龙江新增5例本土病例,2020年05月01日 07:58,原标题：黑龙江新增5例本土病例 2020年4月30日0-24时，#黑龙江省省内新增确诊病例5例#（牡丹江），均为境外输入关联性无症状感染者转为确诊病例。截至4月30日24时，累计报告本土确诊病例558例，累计治愈出院病例471例，现有确诊病例74例（哈尔滨63例、牡丹江10例、大庆1例），现有无症状感染者27例（哈尔滨17例、牡丹江8例、绥化2例）。当日发热门诊诊疗人数791人。累计追踪到省内密切接触者19630人，已解除医学观察17131人，尚有2499人正在接受医学观察。 2020年4月30日0-24时。全省无新增境外输入确诊病例。截至4月30日24时，累计报告境外输入确诊病例386例，其中：黑龙江省120例，其他省份266例；现有境外输入确诊病例270例；累计报告境外治愈出院病例116例。追踪到境外密切接触者2101人，已解除医学观察2085人，尚有16人正在接受医学观察。 2020年4月30日0-24时，无新增境外输入无症状感染者。截至4月30日24时，现有境外输入无症状感染者9例，其中：黑龙江省4例，其他省份5例。
胡锡进：刷新认知，美国的人命竟然这么“不值钱”,2020年04月30日 23:56,原标题：胡锡进：刷新认知，美国的人命竟然这么“不值钱” 新冠疫情在全球搞成这个样子，真是没想到。形势变得太快，很多认识不断被颠覆。 当初武汉封城，如果没有后来疫情在世界范围传播的剧烈场景变化，人们会怎样评价封城和一些地方看上去不近人情的禁足令呢？当时西方从人权角度批评武汉封城的声音很多，国内也有人怀疑这可能是人类历史上最夸张的“小题大做”。对那些连亲朋相聚打麻将都不允许的强制性管理，当时的负评是主流，个别“红袖章”的表现尤其招来反感。那些日子里，一些激烈舆论反映了极度的失望，认为这个国家没有从非典的灾难中汲取任何教训，这样的激动评论在当时舆论场上非常畅销。 现在回头看，武汉早期的问题依然成立，反思是有益的。但中国能够断然做出武汉封城的决定和做出武汉—湖北战场与全国战场的区分，并且给了科学家们巨大的话语权，这些其实都是非典教给我们的。而且武汉封城是隔着14天病毒潜伏期拍板的，它避免了拖延这样做十天八天更严重的后果，这需要多么大的魄力、动员力和执行力才能够做出来。当时没有人知道会有后来的全球疫情来为封城的正确性作证，历史会怎么评价封城，有着巨大风险。我认为如果没有经历过非典，中国很可能不会有武汉封城，如果中国没有极其强大的政治决断力，也是下不了封城决心的。设想一下，如果当时我们把封城的决定拿到社会上去讨论，在那个时间点上能够被接受吗？ 说实话，在封城之后的一段时间里，老胡私下接触的人里是有一些人认为国家“杀鸡用牛刀”了，嫌付出的经济损失太大了。如果没有后来美国等西方社会抗疫表现的反证，我们可能永远不会知道中国从武汉封城开始做的几乎每一步都是对的。如果按照美国的方式去做，中国到今天可能已有几百万人感染，10万到20万人死亡，而且这还远不是最后的感染和死亡数字。 反过来从中国看世界，很多事情也颇令人吃惊。美国不是“民主社会”吗，怎么会是这样？我们一直以为美国的人命“很值钱”，怎么竟然比中国的人命“贱”多了？在这场疫情中，中国多死一些人是了不得的事情，美国一天死一两千人，总统怎么可以说“我们只死了多少多少人”？为了选举，特朗普总统好像真的没把多死一些人当回事。 还有中国有专家当初误判“可防可控”“有限人传人”，人们一直对他们耿耿于怀。特朗普身为总统，之前公开说了那么多疫情“风险很小”“已经完全掌控”等轻描淡写的话，而且他将多部门的风险警告束之高阁，居然没事。美国主流媒体虽然都骂他，揭他，但那些主流媒体原来是很无力的，说什么都白说，砸到地上都没个响。似乎现在只有国际上才把那些美国媒体当回事，由着它们刷存在感。 再有就是特朗普公开针对中国撒弥天大谎，向中国推卸他们抗疫失败的责任，居然在美国能够玩得转。是什么把美国公众搞得这么好骗，一眼就能看穿的甩锅把戏却有声有色地一集一集表演着，在美国也太容易带节奏了。 我相信这场疫情将冲乱人类社会原有的价值体系，而且这种冲击很可能刚开个头。越来越多的科学家相信，新冠疫情将长存于人类社会，这意味着，它的政治和经济社会后果都将不可避免。我觉得，中国经受住了疫情初期的考验，但接下来会发生什么谁都不知道。重要的是，中国的抗疫不是一个封闭体系，我们仍将与美国等处在一个互动体系中，彼此影响、验证。疫情有难以置信的翻盘力量，这一点中国人一定要保持警惕。 请特别注意，美国虽然抗疫搞得如此烂，但它的承受力却是超强的。如果疫情就这么持续几年，美国不停有很多人死亡，那个国家大概率依然能够抗得过去。但试想一下，如果短时间中美形势出现相反的剧烈对比，中国社会能承受得住吗？比如一旦美国率先研制出疫苗和特效药，或者说欧美社会逐渐适应了新冠肺炎的死亡率，彼此开放了，而且这种情况与中西价值差异彼此强化，届时中国又该怎么办？ 中国一点也没有放松的资本，犯错误对我们的综合伤害有可能比对美国严重得多。在中国的综合力量弱于美国的时候，这样的情况将是长期的。我们需要不断强化自己的优势，弥补缺陷和不足，大幅提高中国对各种不利局面的承受力，我们需要只争朝夕，未来一些年中国会非常不轻松。 来源：胡锡进微博
香港资深大律师麦高义去世，曾为“占中三丑”打官司,2020年04月30日 23:25,原标题：香港资深大律师麦高义突发心脏病去世，曾为“占中三丑”打官司 （观察者网讯）据香港大公报4月30日报道，香港资深大律师麦高义心脏病发4月28日去世，终年64岁。有报道引述消息称，麦高义于去年被发现患上白血病，近期在玛丽医院成功接受骨髓移植手术，之后痊愈出院。麦高义本打算下周一复工，但28日晚突发心脏病去世。 据介绍，麦高义生于1956年，与本地妻子育有一双子女，他的儿子麦剑祺也是香港大律师。 麦高义的成名作为1990年成功为111名越南船民申请人身保护令。近年他仍然十分活跃，在“占中”案中，“占中三丑”戴耀廷、陈健民及朱耀明均由麦高义代表。
俄罗斯总理米舒斯京新冠病毒核酸检测呈阳性,2020年05月01日 00:54,原标题：俄罗斯总理米舒斯京新冠病毒核酸检测呈阳性 当地时间4月30日，俄罗斯总理米舒斯京在和普京总统的视频连线中表示，他接受了新冠病毒核酸检测，结果为阳性。 米舒斯京提议在他居家隔离期间由第一副总理别洛乌索夫代为执行总理职责。 此前，据俄罗斯新冠病毒防疫官网发布的信息，截至当地时间4月30日10时35分，在过去24小时内俄罗斯新增新冠肺炎确诊病例7099例，累计逾10万例，达106498例。新增治愈出院病例1333例，累计治愈11619例，死亡1073例。首都莫斯科市新增确诊病例3093例，累计53739例，为全国疫情最严重地区。（总台记者 王斌）
俄总理新冠病毒检测呈阳性 普京任命代理总理,2020年05月01日 01:15,原标题：俄总理新冠病毒检测呈阳性 普京任命代理总理 [海外网5月1日|战疫全时区]据俄罗斯《莫斯科时报》4月30日报道，俄罗斯总理米舒斯京当天在和总统普京的视频连线中表示，他接受了新冠病毒核酸检测，结果为阳性。 报道称，米舒斯京今年54岁，从今年1月起担任俄罗斯总理，是俄罗斯抗疫工作的主要负责人。他目前正在进行自我隔离，暂时不履行总理职务。普京已经签署了一项法令，任命第一副总理别洛索夫暂时接替米舒斯京。 另据俄罗斯新冠病毒防疫官网30日最新数据显示，俄罗斯过去24小时内新增7099例新冠肺炎确诊病例，累计确诊逾10万例，达106498例；新增死亡病例101例，累计达1073例。至此，俄罗斯成为全球第八个确诊病例数超10万的国家，其他7个国家为美国、西班牙、意大利、法国、德国、英国和土耳其。（海外网 王西洛）
你是什么垃圾？北京市民迎来“灵魂一问”,2020年05月01日 00:26,原标题：你是什么垃圾？北京市民迎来“灵魂一问” 中新网客户端北京5月1日电（记者 张尼）你是什么垃圾？5月1日起，伴随着新版《北京市生活垃圾管理条例》正式实施，北京市民迎来“灵魂一问”。 新规实施后，个人混投行为最高将面临200元处罚。此外，餐饮经营者、餐饮配送服务提供者和旅馆经营单位不得主动向消费者提供一次性筷子等，否则也将面临罚款。 实施“四分法” 小程序上线可传图识垃圾 干湿垃圾的分类问题去年曾让上海市民头疼不已，甚至想出了“猪定律”来区分。 不过，和上海实施的垃圾分类规定不同，北京版的垃圾分类无需“猪定律”，而是将垃圾分为了厨余垃圾、可回收物、有害垃圾、其他垃圾四大类，分别对应四种不同颜色的垃圾桶，即绿色、蓝色、红色和灰色。 另外，依照《条例》，废旧家具家电等体积较大的废弃物品，要单独堆放在生活垃圾分类管理责任人指定的地点；家里装饰装修过程中产生的建筑垃圾，也应在当地规定的时间、地点单独堆放，并承担处理费用。 如果有市民搞不清如何按照“四分法”对垃圾进行分类，也可以借助微信小程序帮忙。 北京市城市管理委开发了“北京市垃圾分类宝典”微信小程序，无论是输入文字，还是拍照或语音查询，都能立刻在“宝典”上迅速检索出答案。 不听劝阻乱扔垃圾？个人最高罚200元 垃圾分类新规实施，人们最关心的是，“扔错了怎么罚？” 和上海相似，北京对个人混投行为的最高处罚达到200元。 根据新版《条例》，个人违反相关规定“乱扔垃圾”，由生活垃圾分类管理责任人进行劝阻；对拒不听从劝阻的，生活垃圾分类管理责任人应当向城市管理综合执法部门报告，由城市管理综合执法部门给予书面警告；再次违反规定的，处50元以上200元以下罚款。 另外，应当受到处罚的个人，自愿参加生活垃圾分类等社区服务活动的，不予行政处罚。 而生活垃圾分类管理责任人将生活垃圾交由未经许可或者备案的企业和个人进行处置的，由城市管理综合执法部门责令立即改正，处1万元以上10万元以下罚款。 餐馆不得主动提供一次性筷子 北京的垃圾分类新规也对超薄塑料袋、一次性餐具等的使用进行了限制。 依照《条例》，北京禁止在本市生产、销售超薄塑料袋。超市、商场、集贸市场等商品零售场所不得使用超薄塑料袋，不得免费提供塑料袋。 另外，餐饮经营者、餐饮配送服务提供者和旅馆经营单位不得主动向消费者提供一次性筷子、叉子、勺子、洗漱用品等，并应当设置醒目提示标识。 餐饮经营者在提供服务过程中应当提示消费者合理消费，适量点餐；提供自助餐的，可以在作出提示后，对超过合理限度的剩餐收取费用。 违反上述规定的商家将面临罚款。 超市、商场、集贸市场等商品零售场所使用超薄塑料袋的，由市场监督管理部门责令立即改正，处5000元以上1万元以下罚款；再次违反规定的，处1万元以上5万元以下罚款。 餐饮经营者、餐饮配送服务提供者或者旅馆经营单位主动向消费者提供一次性用品的，由城市管理综合执法部门责令立即改正，处5000元以上1万元以下罚款；再次违反规定的，处1万元以上5万元以下罚款。 将开展3个月专项执法行动 垃圾分类新规实施后，北京市如何对市民进行引导并监管，受到外界关注。 据官方此前介绍，北京市现有垃圾分类指导员2万余人，开展社区宣传、现场指导、分类整理、投放监督工作。 在硬件方面，目前，北京市设置了垃圾分类桶站、分类驿站11.3万余组，共有厨余垃圾运输车1259辆，其他垃圾运输车6412辆，密闭式清洁站、小型垃圾中转站980座。 此外，5月1日至7月31日期间，北京市城管执法局将集中开展为期3个月的生活垃圾分类专项执法行动。 城管执法部门将按照处罚与教育相结合的原则，重点检查社会单位开展生活垃圾分类开展情况；严厉查处生活垃圾分类投放、分类收集、分类运输、分类处置等四个环节的违法行为。对于居民未落实生活垃圾分类投放违法行为，则重在引导，采用教育劝阻、书面警告与执法处罚相结合的方式。 垃圾分类不达标景区将被降级 未来，北京的景区等级评定也将与垃圾分类开展情况挂钩。 据北京市文化和旅游局方面介绍，为推动等级景区开展垃圾分类，各景区将对垃圾桶及标识牌进行完善。从现有的“可回收垃圾、不可回收垃圾”两类设置增加到“可回收物、厨余垃圾、其他垃圾、有害垃圾”四类设置。 其中，将原有的“不可回收垃圾桶”标识更换为“其他垃圾”；等级景区应至少设置一处“有害垃圾桶”；对于涉及餐厅的景区在餐厅设置“厨余垃圾桶”，并在景区显著位置制作垃圾分类内容介绍标识牌。 城区内的等级旅游景区争取5月1日前全部落实到位；远郊区的等级景区在2020年年底前完成硬件设施改造。 此外，对垃圾分类、存放、处置不达标景区，在年度复核中要求景区限期整改，整改仍不合格者要降低或取消景区等级资质。 据介绍，国家标准《旅游景区质量等级的划分与评定》对景区旅游交通、游览、旅游安全、卫生等八个方面设置了1000分进行等级评定，其中，卫生项中的垃圾管理占35分，从垃圾箱设置、垃圾清扫、垃圾处理等方面进行评分。北京市在景区评定及复核中，进一步加大垃圾分类制度落实的权重。
金正恩向朝鲜模范宣传员表示感谢,2020年05月01日 08:21,原标题：金正恩向朝鲜模范宣传员表示感谢 据《劳动新闻》5月1日报道，朝鲜最高领导人金正恩向朝鲜多个行业的模范宣传员表示感谢，感谢其宣传朝鲜劳动党的思想及政策，鼓舞士气。 收到来自金正恩谢意的模范宣传员们感到非常激动，表示要为朝鲜社会主义建设注入新的活力，在“正面突破战”中以崭新的宣传活动为革命增添动力。 （总台记者 董海涛）
