title,time,article
协和、华山、湘雅……王炸医院遍地开花？国家出手了,2020年05月31日 18:41,原标题：协和、华山、湘雅。。。王炸医院遍地开花？国家出手了！ 5月30日，据国家市场监管总局消息，近期，部分医疗机构利用“协和”等知名医院名义对外开展经营，扰乱正常医疗秩序，造成恶劣社会影响。知名机构被冒牌问题在其他领域也时有发生。 为促进医疗等行业规范有序发展，现决定以“协和”“华山”“湘雅”“华西”“齐鲁”“同济”“天坛”等知名医院被冒牌问题为重点，对知名医院等机构被冒牌问题在全国范围内开展清理整治，切实规范市场主体经营行为。 通知还特别提到，请各省级市场监管部门于2020年11月15日前，将清理整治情况报送市场监管总局登记注册局。 一、加强对知名医院等机构字号的保护。 各地市场监管部门要主动与全国名称规范管理系统对接，进一步完善名称禁限用字词库，及时更新保护知名医院等机构相关字词。加强对营利性医疗机构名称的规范管理，对含有“协和”等知名医院名称相关字词的企业名称，无授权的一律不得登记；已经登记注册的营利性医疗机构，无投资关系或相关授权的，指导其变更名称。 二、严厉打击医疗领域不正当竞争行为。 加大对仿冒混淆、虚假宣传等不正当竞争行为的打击力度。重点查处擅自使用知名医院等机构具有一定影响的标识的仿冒混淆行为，及发布虚假医疗信息等虚假宣传行为。加强工作衔接，及时依法处理相关企业名称。 三、坚决查处营利性医疗机构价格违法行为。 加强对营利性医疗机构收费行为的监督检查，重点检查医疗服务、药品及医用材料未按照规定明码标价、价格欺诈等价格违法行为。 四、严肃查处发布违法医疗广告行为。 重点查处未经卫生健康部门、中医药管理部门审查发布医疗广告的行为。加大广告监测力度，对违法医疗广告，要立即责令停止发布，对相关责任主体依法从严查处。 五、加强信用信息公示。 依法依规将营利性医疗机构等市场主体相关行政处罚、抽查检查结果等信息及时通过国家企业信用信息公示系统向社会公示，运用经营异常名录、严重违法失信企业名单以及失信联合惩戒等信用监管手段，发挥信用惩戒机制作用。 公立的协和医院全国总共只有 3 家 得知这一消息，@丁香医生 发文提醒，公立的协和医院全国总共只有 3 家：北京协和医院、华中科技大学同济医学院附属协和医院和福建医科大学附属协和医院。 不少网友也对当地一些医院表示疑惑，希望尽快整顿！ “网红”护肤品也跟北京协和没关系 挂着“协和”的名号不仅蒙蔽了患者，还曾让消费者傻傻分不清楚。 据中国之声报道，去年年底，一款包装“低调”的护肤产品突然火爆起来。据某短视频数据平台统计，短短一周的时间里，这款护肤品就在全网售出51万件。 这款护肤品叫做“协和维E乳”。当时，在某电商平台的“协和旗舰店”店铺中，100毫升装的“协和维E乳”每瓶只卖14块6；最关键的是，这个名叫“协和”且发货地标注为北京的店铺，很难不让消费者把它跟著名的北京协和医院联系在一起。 但北京协和医院的工作人员表示，北京协和医院不生产维生素E乳，只有硅霜和硅E乳。一家售卖协和维E乳的药房工作人员表示，他们卖的协和维E乳，是苏州协和生产的。 你有过类似的经历吗？ 扩散！提醒更多人！   
fail,fail,fail
正处级23年，他被查,2020年05月31日 19:36,原标题：正处级23年，他被查 5月29日，据山西省纪委监委网站消息：朔州市山阴县委原副书记、县长南志中涉嫌严重违纪违法，目前正接受朔州市纪委监委纪律审查和监察调查。 “政事儿”注意到，南志中自1997年开始担任正处级干部，至今已有23年的时间。 官方履历显示，南志中1961年8月生，山西平鲁人，大专文化，1979年11月参加工作，1990年7月加入中国共产党。 他早期在《平鲁文化》、山西日报等单位任职，1992年任山西日报朔州记者站站长，明确为副处级，1997年3月仍然担任站长的他被明确为正处级。 1997年3月，南志中正式走向仕途，出任山阴县委副书记，后曾在山西省委党校经济管理专业学习。 2004年8月，他调任朔城区委副书记、纪委书记。2011年，南志中重返山阴县担任县长，2018年11月被免，主政山阴长达7年时间。官方履历显示，其卸任山阴县长后，仍担任该县正处级干部。 “政事儿”注意到，在担任山阴县长时，南志中多次陷入舆论风波。 2012年8月，山西山阴县举办首届奶牛选美大赛，南志中和8名身着比基尼模特一同为奶牛挤奶。 当时媒体批评其“恶俗炒作”，南志中回应说，“我们从全县10万头奶牛中层层筛选出最后参赛的30头奶牛，它们就是精品中的精品，是奶牛界的‘法拉利’‘劳斯莱斯’，它们理应有着和名车一样的待遇，有‘车模’就可以有‘牛模’。” 2016年10月，省山阴县广武明长城10号敌台的“月亮门”景观坍塌。随即，南志中代表山阴县政府向社会公开道歉，并作出检查：“虽然坍塌是因罕见大风所致，但政府有不可推卸的责任：在思想上不够重视，保护措施不力，以及投入不足。” 南志中表示，“我代表县政府作出六点决定：加强长城管理队伍建设；加大长城保护投入，在去年财政预算的基础上，投入增幅2%；成立广武长城管委会，设立长城保护基金。千年长城不能毁于我手，不做千古罪人，要做长城守护神。” 南志中简历 南志中，男，汉族，1961年8月生，山西平鲁人，大专文化，1979年11月参加工作，1990年7月加入中国共产党。 1979年11月至1982年3月，平鲁县人民银行会计； 1982年3月至1983年2月，平鲁县文化馆干事、《平鲁文化》总编； 1983年2月至1989年4月，雁北日报社编辑、《平鲁文化》记者； 1989年4月至1992年3月，山西日报朔州记者站站长； 1992年3月至1997年3月，山西日报朔州记者站站长（副处级）； 1997年3月至1997年3月，山西日报朔州记者站站长（正处级）； 1997年3月至2004年8月，中共山阴县委副书记（正处级）； （期间：1998年9月至2001年7月在山西省委党校经济管理专业学习）； 2004年8月至2004年11月，中共朔城区委副书记（正处级）； 2004年11月至2011年4月，中共朔城区委副书记、纪委书记（正处级）； 2011年4月至2011年6月，中共山阴县委副书记（正处级）； 2011年6月至2018年11月，中共山阴县委副书记、人民政府县长； 2018年11月至今，山阴县人民政府正处级干部（2018年11月免去其山阴县委副书记、常委、委员、山阴县县长职务）； 2020年5月，涉嫌严重违纪违法，目前正接受朔州市纪委监委纪律审查和监察调查。 中共朔州市第六次代表大会代表，第六届市委委员，朔州市第六届人大代表。
fail,fail,fail
加拿大之后又一国！英国伦敦也爆发抗议，示威者高喊：“英国并不无辜！”,2020年05月31日 18:54,原标题：加拿大之后又一国！英国伦敦也爆发抗议，示威者高喊：“英国并不无辜！” [环球网报道 实习记者 崔妍]美国明尼苏达州白人警察暴力执法致死黑人男子引发的抗议示威持续升级，目前全美至少30座城市爆发抗议活动。据多家外媒报道，就在美国国内的抗议示威愈演愈烈之际，继加拿大之后，英国也爆发了大规模抗议。 综合英国独立电视台（ITV）、美国福布斯新闻网31日报道，本周六（30日）下午，英国伦敦南部地区爆发大规模抗议活动。报道称，当天，数百名示威者高举写有“黑人的命也是命”、“团结”等文字的标语走上街头发起示威抗议，隔洋声援美国示威者。据悉，伦敦南部地区居住了较多非裔人士及加勒比海移民。 据报道，示威者们堵塞了交通，让主干道上的公交和汽车等寸步难行。在抗议活动中途，还有示威者嚷道：“英国也不是无辜的！于此同时，还有小部分示威者在美国驻伦敦大使馆外发起抗议，要求为弗洛伊德伸张正义。 另据英国《每日邮报》报道，英国各地的示威者计划于下周在该国举行一系列示威活动，其中的目标地点有伯明翰、曼彻斯特、加的夫、格拉斯哥以及伦敦。示威者们还计划于当地时间31日在伦敦市中心的特拉法加广场举行集会，并在那里“为弗洛伊德下跪”。 《每日邮报》还提到，为确保疫情期间的安全，现场有多处横幅提醒示威者要戴上口罩，并遵守社会隔离规则。 此外，据加媒报道，当地时间30日下午，加拿大多伦多市也爆发了千人示威活动，反对针对黑人的种族主义。加媒称，当天下午，数千名抗议者手举“黑人的命也是命”等标语，在多伦多警局总部前示威。当地警方称大约有4000人参加了集会，没有人被逮捕。 因非裔男子乔治·弗洛伊德被白人警察德雷克·乔文“膝盖锁喉”致死，美国明尼苏达州的抗议活动持续进行，30日已是第5天。此外，这股抗议浪潮正向全美延烧，纽约、洛杉矶、休斯顿等至少30座美国城市也爆发大规模示威，场面混乱如同“战场”。
香港特区官员这话硬气！,2020年05月31日 18:12,原标题：香港特区官员这话硬气！ 据香港电台网站5月31日报道，香港特区政制及内地事务局局长曾国卫表示，“港区国安法”具体条文仍未公布，市民有忧虑是理所当然、很正常的事。 曾国卫称，他知道近日港人查询移民数字上升，但相信他们只是查询而已，不代表一定会移民，希望市民明白相关法例不会损害港人合法权益。 对于美国或会取消给予香港特殊待遇，并制裁所谓“参与削弱香港自治”的官员，曾国卫出席一个电台节目时说，要制裁便制裁，他没有外国国籍和资产，甚至连加拿大都可以不去，以免“被人捉”。 据香港特区政府官网介绍，曾国卫于2020年4月22日出任第五届香港特别行政区政府政制及内地事务局局长。 他于1986年毕业于香港中文大学主修新闻与传播学，1987年4月加入前人民入境事务处，曾负责不同职务，包括入境事务学院、签证管制、诉讼及酷刑声请审理、边境管制等，并在2007年至2010年期间派驻中华人民共和国香港特别行政区政府驻北京办事处，领导该处的入境事务小组。2016年4月，其出任入境事务处处长。 来源：观察者网 
香港市民赴美国驻港澳总领事馆外抗议，痛斥美国干涉港区国安立法,2020年05月31日 16:46,原标题：香港市民赴美国驻港澳总领事馆外抗议，痛斥美国干涉港区国安立法 [环球网报道]“干涉我国内政，特朗普最无耻”、“香港止暴制乱，必须立国安法”……今天（31日），又有香港市民前往美国驻港澳总领事馆外高喊口号抗议。 5月28日下午，十三届全国人大三次会议以高票表决通过《全国人民代表大会关于建立健全香港特别行政区维护国家安全的法律制度和执行机制的决定》。美国总统特朗普在北京时间星期六（30日）凌晨通过记者会宣称，中国制定涉港国安法已经把“一国两制”的承诺变成了“一国一制”，他表示美国“将采取行动，取消香港作为中国一个单独的海关和旅游地区所享有的优惠待遇”。 据香港“东网”31日报道，今天有香港市民自发前往位于中环的美国驻港澳总领事馆外示抗议，高喊“干涉我国内政，特朗普最无耻”、“香港止暴制乱，必须立国安法”、“维护国家主权，决心坚定不移”等口号。 据报道，抗议市民代表陈女士表示，她代表香港市民强烈抗议美国总统特朗普及国务卿蓬佩奥，粗暴干涉中国制订“港区国安法”，企图以取消关税优惠和惩罚相关官员来恐吓阻止中国立法。她痛斥美国颠倒是非，实施长臂管治霸凌行为严重违反国际法规，伤害中美人民感情，分裂中国。 香港市民团体“香港善美大联盟”一行人也到美国驻港澳总领事馆外抗议。他们高喊“港区国安立法，纯属中国内政”“决心粉碎外部势力”等口号。他们表示，香港社会遭受“港独”分裂势力暴力冲击、捣乱和破坏，（他们）意图分裂国家及推翻政府，行为已到恐怖级别。全国人大为港区安全立法，挽救香港于水火之中，使香港能够得到安宁符合国家安全及港人利益。 此外，今早还有香港市民前往美国驻港澳总领事馆外，抗议香港“壹传媒”创办人黎智英“卖国卖港”，痛斥乱港分子黎智英、李柱铭及黄之锋等必然受到应有惩罚。报道称，抗议市民在美国驻港澳总领事馆外高叫“走狗卖国贼”“乱港大汉奸，黑金黎智英”及“乞求美国乱港，最贱格黎智英”等口号，并手持“烂苹果黎智英，败类滚出香港”等标语，抗议黎智英“出卖香港”。 实际上，近日已有多批香港市民自发前往美国驻港澳总领事馆外抗议。据香港《大公报》报道，此前，香港民间团体“同心护港”及“元朗青年联会”也曾先后到美国驻港澳总领事馆外抗议，强烈谴责美国公然反对港区国安立法，赤裸裸干预香港事务。 报道称，“同心护港”成员拉起“抗议美国干预中国内政，支持港区国安法立法”的横额，沿花园道行至美国驻港澳总领事馆，其间高呼“香港暴徒，美国制造”“打倒美国霸权”等口号，以表达不满。还有成员手持美国总统特朗普吊着点滴的模型人偶，以影射特朗普此前的“消毒剂”言论。“同心护港”召集人曹达明表示，全国人大涉港国安立法可以有效阻止香港的个人或团体再勾结外国势力或进行颠覆国家政权的活动，他认为美国不应对此指手画脚。 “元朗青年联会”代表则在美国驻港澳总领事馆外高呼，“外国唔应该说三道四”、“leave us alone（别管我们）”等口号，强调中国人不会再屈服。 此外，香港民间团体“香港政生关注组”也曾到美国驻港澳总领事馆外抗议，要求美国停止一切干预香港内部事务的行为，团体手持“强烈谴责美国干预香港事务”“国安法对港人有利无害”等标语，向美国驻港澳总领事馆职员递交抗议信。 关注组发言人邓家彪表示，美国设有20多条国家安全法，并且执法权极大，刑罚极重，如今美国国务卿蓬佩奥对“港区国安法”作出批评，彻底暴露其双重标准和霸凌恶性，粗暴干预中国内政及香港特区政府内部事务，借“香港”打压中国。 邓家彪说，“港区国安法”只针对少数人危害国家安全的极端行为，港人的通讯自由、言论自由等权利，完全可以得到保障，“港区国安法”需尽快立法并推行，这有助稳定社会，刺激经济，符合香港不同阶层的愿望。
"特朗普：把左翼势力""反法西斯主义运动""列为恐怖组织",2020年06月01日 07:21,原标题：特朗普：把左翼激进势力“反法西斯主义运动”列为恐怖组织！ （观察者网讯）美国一名非洲裔男子因白人警察暴力执法不幸身亡，引发美国多地大规模抗议活动。截至目前，全美已有至少25座城市实施宵禁，国民警卫队已部署至15个州和首都哥伦比亚特区，以应对抗议活动中的突发暴力事件。 骚乱压力下的美国总统特朗普上个周末咆哮发推，一再对示威者发出严厉警告，并对民主党市长平息示威活动不利表达不满。 北京时间昨夜至今晨，特朗普又接连发布推文，称美国左翼激进无政府组织是暴力示威活动的幕后推手，并赞扬国民警卫队在明尼阿波利斯快速有效控制局面，鼓励美国其他州效仿。刚刚他又更新推文称，“美国将左翼激进势力‘反法西斯主义运动（ANTIFA）’列为恐怖组织！” 以下是特朗普一系列推文： 美国其他民主党人执政的州和城市都应该看看国民警卫队昨晚是怎么在明尼阿波利斯彻底阻止极端左翼无政府主义者（闹事）的，国民警卫队干得漂亮！其他州都应该快出动国民警卫队，以免为时已晚。 几分钟后，特朗普又发推说： 祝贺我们的国民警卫队！他们昨晚抵达明尼苏达州明尼阿波利斯后立即完成了出色的工作。 “反法西斯主义运动”领导的无政府主义者以及其他人（闹事行为）被迅速阻止。 明尼阿波利斯市市长应该在第一晚就动用，这样就不会有麻烦了！” 随后他又嘲讽了CNN、MSNBC（被特朗普称为MSDNC）、《华盛顿邮报》等亲民主党媒体，继续批评他们的报道是“假新闻”。 截至发稿，特朗普刚刚发推称“法律与秩序”。 此前，特朗普曾对美国总检察长比尔·尔表示，美国的左翼激进组织要对全美多地暴力抗议行为负责。CNN报道称，有联邦执法官员透露，一些美国极端组织利用明尼阿波利斯和各地的合法抗议活动做掩护，策划了多起暴力事件。
美国27岁女子向警车扔汽油弹 车里坐4名警察(图),2020年06月01日 00:02,原标题：街头变战场！美国27岁女子向警车扔汽油弹 车里坐4名警察 [海外网6月1日编译报道]非裔男子遭警察暴力执法致死后，美国数十个城市连续多日发生示威，期间警察与抗议者冲突不断。当地时间5月29日晚，美国纽约市一名27岁的女子上街抗议时，向一辆警车投掷汽油弹后被捕，面临4项指控。21岁的妹妹因帮助她逃脱，也遭到拘捕。 据《每日邮报》报道，5月29日晚上，27岁的萨曼莎·沙德在布鲁克林区，向一辆纽约市警察局的车辆投掷汽油弹，当时车里坐着4名警察。由于汽油弹未发生爆炸，因此现场无人受伤。警察迅速下车试图逮捕萨曼莎·沙德，期间腿部被她咬了一口。 当时，21岁的达里安也在现场，因为试图帮助姐姐萨曼莎·沙德逃脱，也被拘捕，并面临拒捕和妨碍政府行政管理的指控。 据了解，这对姐妹来自纽约州卡茨基尔地区，示威期间有过与警方发生冲突的记录。她们的母亲爱米则不愿回应此事。 另据《纽约邮报》报道，向警察扔汽油弹的萨曼莎·沙德，面临试图谋杀警察、企图纵火等4项指控。纽约市巡警慈善工会主席帕特里克·林奇对此怒不可遏，他斥责萨曼莎·沙德等人是企图谋杀纽约警察的“恐怖分子”，说不能让这些女性躲在抗议者的标签后面，他还呼吁纽约市的所有领导者都强烈谴责针对警察的袭击。 据了解，5月29日晚上，在纽约市布鲁克林区，约有3000名抗议者上街示威。其中200多人被捕，也有许多警察受伤。
蒋孝严非蒋经国之子？ 历史学者:蒋经国日记里说了谎,2020年06月01日 05:34,原标题：蒋孝严不是蒋经国之子？  历史学者：蒋经国在日记里说了谎 [环球时报综合报道]《蒋经国日记》2月正式公开后，资深媒体人黄清龙飞到美国查阅。他5月31日惊爆，蒋经国在日记里否认蒋孝严（原名章孝严）兄弟是亲生儿子。 据中时电子报5月31日报道，蒋经国在1954年10月30日的日记中写道，“继春为人忠厚……他在生时曾与章姓女相识，未婚而生孪子，当在桂林生产时，余曾代为在医院作保人，后来竟有人误传此孪子为余所出。后来章姓女病故，现此二孩已十有余岁，为念亡友之情，余仍维持他们之生活”。否认章亚若所生双胞胎与他有关，还明确指出双胞胎生父是他在赣南时期的部属王继春。 不过历史学者王丰认为，日记只能作为参考，况且蒋经国的日记是蒋介石规定要写的，三不五时都要给他看，所以很多事情不能在日记里讲。他认为蒋经国说谎有几个原因：一是宗教，蒋介石是基督徒，基督教教义是一夫一妻；二是当时南京国民政府明订一夫一妻制，蒋经国不能违法。更重要的是政治因素，蒋经国是蒋介石儿子，在众目睽睽下拥有非婚生子女攸关政局。黄清龙也认为蒋经国有可能在日记中说谎。他透露蒋孝严得知后很惊讶，猜测蒋经国这样写可能是要写给蒋介石看的，因为当时他的处境很困难，为了接班，政敌很多。关于认祖归宗的过程，蒋孝严曾在《蒋家门外的孩子》一书中有详细记载。 台媒同时提到，“监察委员”王美玉著作《蒋方良传》中写道，蒋经国儿子蒋孝勇曾表示，有关父亲婚外情一事，虽然外界揣测很多，但他们在家里从来没有提过，父亲在世时也没提过蒋孝严兄弟。蒋家亲友还透露，蒋孝勇生前曾问过宋美龄此事，宋美龄摇了摇头说：“没办法呀，我不只一次问过经国，他都说没这回事”。（于名）
